2025-12-26 08:50:30 | INFO     | trading_bot | Bot monitoring system initialized
2025-12-26 08:50:30 | INFO     | trading_bot | Initializing Trading Bot...
2025-12-26 10:07:27 | INFO     | trading_bot | Bot monitoring system initialized
2025-12-26 10:07:27 | INFO     | trading_bot | Initializing Trading Bot...
2025-12-26 10:09:25 | INFO     | trading_bot | Bot monitoring system initialized
2025-12-26 10:09:25 | INFO     | trading_bot | Initializing Trading Bot...
2025-12-26 10:09:30 | INFO     | trading_bot | Bot monitoring system initialized
2025-12-26 10:09:30 | INFO     | trading_bot | Initializing Trading Bot...
2025-12-26 10:10:12 | INFO     | trading_bot | Bot monitoring system initialized
2025-12-26 10:10:12 | INFO     | trading_bot | Initializing Trading Bot...
2025-12-26 10:10:12 | WARNING  | trading_bot | LSTM Model not found at models/trained_lstm.pth. Using untrained model.
2025-12-26 10:10:16 | INFO     | trading_bot | Bot monitoring system initialized
2025-12-26 10:10:16 | INFO     | trading_bot | Initializing Trading Bot...
2025-12-26 10:10:16 | WARNING  | trading_bot | LSTM Model not found at models/trained_lstm.pth. Using untrained model.
2025-12-26 10:10:51 | INFO     | trading_bot | Bot monitoring system initialized
2025-12-26 10:10:51 | INFO     | trading_bot | Initializing Trading Bot...
2025-12-26 10:10:51 | WARNING  | trading_bot | LSTM Model not found at models/trained_lstm.pth. Using untrained model.
2025-12-26 10:10:51 | INFO     | trading_bot | Bot initialized for ['EURUSD=X', 'GBPUSD=X'] (Paper trading)
2025-12-26 10:10:51 | INFO     | trading_bot | Starting trading bot (interval: 60s)
2025-12-26 10:10:51 | INFO     | trading_bot | Trading Cycle - 2025-12-26 10:10:51
2025-12-26 10:10:51 | WARNING  | trading_bot | No data fetched.
2025-12-26 10:10:51 | INFO     | trading_bot | Sleeping 60s until next cycle...
2025-12-26 10:11:07 | INFO     | trading_bot | Bot monitoring system initialized
2025-12-26 10:11:07 | INFO     | trading_bot | Initializing Trading Bot...
2025-12-26 10:11:07 | WARNING  | trading_bot | LSTM Model not found at models/trained_lstm.pth. Using untrained model.
2025-12-26 10:11:07 | INFO     | trading_bot | Bot initialized for ['EURUSD=X', 'GBPUSD=X'] (Paper trading)
2025-12-26 10:11:07 | INFO     | trading_bot | Starting trading bot (interval: 60s)
2025-12-26 10:11:07 | INFO     | trading_bot | Trading Cycle - 2025-12-26 10:11:07
2025-12-26 10:11:07 | WARNING  | trading_bot | No data fetched.
2025-12-26 10:11:07 | INFO     | trading_bot | Sleeping 60s until next cycle...
2025-12-26 10:11:51 | INFO     | trading_bot | Trading Cycle - 2025-12-26 10:11:51
